"","date","year","pollinator","block","plot","sum.visits","bumblebees","hoverflies","other.flies","ref.id","acmi","anlu","assu","caly","cami","capl","clsi","copa","frca","gatr","glma","grass","juba","plmc","plmr","poan","sili","trma","trwo","pc1","pc2","pc3","pc4"
"68","13-Aug-18",2018,3,9,"D",1,0,1,0,"13-Aug-18_2018_3_9_D",1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441430655455842,2.71371875030201,0.180598704108599,-0.223112702640865
"69","13-Jul-18",2018,2,11,"A",1,0,1,0,"13-Jul-18_2018_2_11_A",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,1,0.624425049962996,-0.161822126280063,0.340329201393585,0.933831731059116
"70","13-Jul-18",2018,2,11,"B",2,1,1,0,"13-Jul-18_2018_2_11_B",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0.917204862160625,-0.247101936882056,0.431264346951624,0.707864819586839
"71","13-Jul-18",2018,2,11,"C",1,0,0,0,"13-Jul-18_2018_2_11_C",0,0,0,0,1,0,0,0,0,0,0,39,0,0,0,0,0,0,1,1.39346421051161,-1.52697556615391,0.00599617184613092,0.304418398582185
"72","13-Jul-18",2018,2,11,"D",0,0,0,0,"13-Jul-18_2018_2_11_D",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.705823804491238,0.355612224680854,0.357851053294486,0.814023543687842
"73","13-Jul-18",2018,2,12,"A",1,0,1,0,"13-Jul-18_2018_2_12_A",1,0,0,0,36,0,0,0,0,0,0,87,0,0,0,0,0,0,0,1.86859236187947,-2.39283113070671,-2.31705004619007,-1.16473726594882
"74","13-Jul-18",2018,2,12,"B",1,0,1,0,"13-Jul-18_2018_2_12_B",2,0,0,0,27,0,0,0,0,0,0,27,0,0,2,0,0,0,0,1.55635607802289,-1.37684393492895,-2.16383522722951,-1.24964388412073
"75","13-Jul-18",2018,2,12,"C",1,0,1,0,"13-Jul-18_2018_2_12_C",2,0,0,0,34,0,0,0,0,0,0,58,0,0,2,0,0,0,0,1.79563542428577,-2.04400928830637,-2.27922083298492,-1.42550791195682
"76","13-Jul-18",2018,2,12,"D",0,0,0,0,"13-Jul-18_2018_2_12_D",1,0,0,0,5,0,0,0,0,0,0,21,0,0,0,0,0,0,0,1.34813331907241,-1.03190391138339,-0.879650379200137,-0.449311470136789
"77","13-Jul-18",2018,2,13,"A",2,0,1,1,"13-Jul-18_2018_2_13_A",1,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,1.34649219061779,-1.14843689995552,0.713564733106691,-0.00128228535436365
"78","13-Jul-18",2018,2,13,"B",1,0,0,0,"13-Jul-18_2018_2_13_B",1,0,0,0,0,0,0,0,0,0,0,14,0,0,6,0,0,0,0,1.12946653471656,-0.607932827648624,0.524505720306269,0.067733172085798
"79","13-Jul-18",2018,2,13,"C",5,0,1,0,"13-Jul-18_2018_2_13_C",3,0,0,0,0,0,0,0,0,0,0,120,0,0,3,0,0,0,0,1.8620200813864,-2.35145628391471,0.944825667499297,-0.782221639110992
"80","13-Jul-18",2018,2,13,"D",0,0,0,0,"13-Jul-18_2018_2_13_D",2,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,1.48163876637156,-1.34501577521258,0.838422990474486,-0.357864675618166
"81","14-Jul-18",2018,2,2,"A",1,0,0,1,"14-Jul-18_2018_2_2_A",2,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,1,1.53469742080367,-1.46510189864472,0.88273614118351,-0.375770883633639
"82","14-Jul-18",2018,2,2,"B",0,0,0,1,"14-Jul-18_2018_2_2_B",1,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1.27494626626686,-0.897545528017279,0.0721563799635241,-0.138353357693509
